"Plug_number","Dry.weight","Wet.weight_time0","tank","position","Reef","Species","Colony","Notes_fragging","Temperature","Buoyant_weight_t0","Date_t0","Notes_t0","Buoyant_weight_t0_additional","Date_t0_additional","Notes_t0_additional","Buoyant_weight_t1","Date_t1","Notes_t1","Buoyant_weight_t1_additional","Date_t_1_additional","Notes_t_1_additional","Buoyant_weight_t2","Date_t2","Notes_t2","Buoyant_weight_t2_additional","Date_t2_additional","Notes_t2_additional","Buoyant_weight_t3","Date_t3","Notes_t3","Buoyant_weight_t3_additional","Date_t_3_additional","Notes_t_3_additional","X","Buoyant_weight_t4","Date_t4","Notes_t4","Buoyant_weight_t4_additional","Date_t4_additional","Notes_t4_additional","Buoyant_weight_t5","Date_t5","Notes_t5"
358,17.8283,NA,"25°C/1",8,"Kelso","Acropora hyacinthus",5,"",25,18.0115,"11/05/2021",NA,NA,"","",18.3852,"20/05/2021","",NA,"","",18.6542,"26/05/2021","",NA,"","",19.2268,"8/06/2021","",NA,"","",NA,"19.9204","22/06/2021","","20.6779","6/07/2021","",NA,"",NA
64,18.8231,NA,"25°C/1",9,"Kelso","Acropora tenuis",13,"",25,14.3159,"11/05/2021",NA,NA,"","",14.4855,"20/05/2021","",NA,"","",14.5722,"26/05/2021","",NA,"","",14.6913,"8/06/2021","",NA,"","",NA,"14.758","22/06/2021","","14.8779","6/07/2021","",NA,"",NA
56,19.1796,NA,"25°C/1",12,"Kelso","Pocillopora verrucosa",6,"",25,26.94,"11/05/2021",NA,NA,"","",27.1371,"20/05/2021","",NA,"","",27.3068,"26/05/2021","",NA,"","",27.7737,"8/06/2021","",NA,"","",NA,"28.5649","22/06/2021","","29.4812","6/07/2021","",NA,"",NA
148,19.1657,NA,"25°C/1",13,"Kelso","Pocillopora verrucosa",8,"",25,24.8593,"11/05/2021",NA,NA,"","",25.0306,"20/05/2021","",NA,"","",25.1764,"26/05/2021","",NA,"","",25.3185,"8/06/2021","",NA,"","",NA,"25.6475","22/06/2021","","25.9822","6/07/2021","",NA,"",NA
318,19.5689,NA,"25°C/1",14,"Kelso","Acropora hyacinthus",6,"",25,20.4397,"11/05/2021",NA,NA,"","",20.8968,"20/05/2021","",NA,"","",21.2286,"26/05/2021","",NA,"","",21.7803,"8/06/2021","",NA,"","",NA,"22.0533","22/06/2021","","22.186","6/07/2021","",NA,"",NA
153,18.7918,NA,"25°C/1",15,"Kelso","Pocillopora verrucosa",4,"",25,17.5302,"11/05/2021",NA,NA,"","",17.7025,"20/05/2021","",NA,"","",17.8323,"26/05/2021","",NA,"","",18.1579,"8/06/2021","",NA,"","",NA,"18.6179","22/06/2021","","19.2054","6/07/2021","",NA,"",NA
276,19.0748,NA,"25°C/1",16,"Kelso","Acropora hyacinthus",1,"",25,15.7685,"11/05/2021",NA,NA,"","",16.031,"20/05/2021","",NA,"","",16.2097,"26/05/2021","",NA,"","",16.5495,"8/06/2021","",NA,"","",NA,"16.9446","22/06/2021","","17.4119","6/07/2021","",NA,"",NA
334,18.1428,NA,"25°C/2",1,"Kelso","Acropora tenuis",4,"",25,16.7863,"11/05/2021",NA,NA,"","",16.9467,"20/05/2021","",NA,"","",17.0274,"26/05/2021","",NA,"","",17.0806,"8/06/2021","",NA,"","",NA,"17.0923","23/06/2021","","17.1661","6/07/2021","",NA,"",NA
165,19.8464,NA,"25°C/2",2,"Kelso","Stylophora pistillata",7,"",25,24.1127,"11/05/2021",NA,NA,"","",24.3779,"20/05/2021","",NA,"","",24.5555,"26/05/2021","",NA,"","",25.0073,"8/06/2021","",NA,"","",NA,"25.6616","23/06/2021","","26.269","6/07/2021","",NA,"",NA
35,20.4782,NA,"25°C/2",3,"Kelso","Stylophora pistillata",8,"",25,21.9268,"11/05/2021",NA,NA,"","",22.192,"20/05/2021","",NA,"","",22.3848,"26/05/2021","",NA,"","",22.8912,"8/06/2021","",NA,"","",NA,"23.7843","23/06/2021","","24.6017","6/07/2021","",NA,"",NA
268,18.4661,NA,"25°C/2",6,"Kelso","Acropora hyacinthus",15,"",25,14.9993,"11/05/2021",NA,NA,"","",15.1363,"20/05/2021","",NA,"","",15.2342,"26/05/2021","",NA,"","",15.4744,"8/06/2021","",NA,"","",NA,"15.7525","23/06/2021","","16.105","6/07/2021","",NA,"",NA
281,18.6194,NA,"25°C/2",7,"Kelso","Pocillopora verrucosa",10,"",25,25.4729,"11/05/2021",NA,NA,"","",25.8864,"20/05/2021","",NA,"","",26.2268,"26/05/2021","",NA,"","",26.9665,"8/06/2021","",NA,"","",NA,"27.9333","23/06/2021","","29.1104","6/07/2021","",NA,"",NA
185,20.1732,NA,"25°C/2",8,"Kelso","Stylophora pistillata",3,"",25,21.8775,"11/05/2021",NA,NA,"","",22.279,"20/05/2021","",NA,"","",22.5678,"26/05/2021","",NA,"","",23.2603,"8/06/2021","",NA,"","",NA,"24.1173","23/06/2021","","25.8521","6/07/2021","",NA,"",NA
228,19.9753,NA,"25°C/2",10,"Kelso","Pocillopora verrucosa",9,"",25,21.6225,"11/05/2021",NA,NA,"","",21.7336,"20/05/2021","",NA,"","",21.8016,"26/05/2021","",NA,"","",21.9488,"8/06/2021","",NA,"","",NA,"22.2253","23/06/2021","","22.6103","6/07/2021","",NA,"",NA
218,19.1134,NA,"25°C/2",11,"Kelso","Pocillopora verrucosa",12,"",25,29.3479,"11/05/2021",NA,NA,"","",29.5522,"20/05/2021","",NA,"","",29.6782,"26/05/2021","",NA,"","",29.9137,"8/06/2021","",NA,"","",NA,"30.271","23/06/2021","","30.6853","6/07/2021","",NA,"",NA
349,18.3569,NA,"25°C/2",13,"Kelso","Acropora tenuis",1,"",25,20.2961,"11/05/2021",NA,NA,"","",20.5034,"20/05/2021","",NA,"","",20.6394,"26/05/2021","",NA,"","",20.9144,"8/06/2021","",NA,"","",NA,"21.2216","23/06/2021","","21.5834","6/07/2021","",NA,"",NA
192,17.7093,NA,"25°C/2",14,"Kelso","Acropora hyacinthus",10,"",25,16.6876,"11/05/2021",NA,NA,"","",17.0763,"20/05/2021","",NA,"","",17.3272,"26/05/2021","",NA,"","",17.8039,"8/06/2021","",NA,"","",NA,"18.1839","23/06/2021","","18.6235","6/07/2021","",NA,"",NA
565,19.6765,NA,"25°C/2",15,"Kelso","Acropora tenuis",8,"",25,15.557,"11/05/2021",NA,NA,"","",15.7005,"20/05/2021","",NA,"","",15.775,"26/05/2021","",NA,"","",15.8712,"8/06/2021","",NA,"","",NA,"15.8976","23/06/2021","","15.9523","6/07/2021","",NA,"",NA
130,19.0383,NA,"25°C/2",18,"Kelso","Acropora hyacinthus",7,"",25,20.4002,"11/05/2021",NA,NA,"","",20.6422,"20/05/2021","",NA,"","",20.8047,"26/05/2021","",NA,"","",21.1758,"8/06/2021","",NA,"","",NA,"21.6522","23/06/2021","","22.287","6/07/2021","",NA,"",NA
591,18.5678,NA,"25°C/3",1,"Kelso","Acropora tenuis",2,"",25,15.6875,"11/05/2021",NA,NA,"","",15.9321,"20/05/2021","",NA,"","",16.0949,"26/05/2021","",NA,"","",16.4276,"8/06/2021","",NA,"","",NA,"16.6083","23/06/2021","","16.7664","6/07/2021","",NA,"",NA
302,19.3897,NA,"25°C/3",3,"Kelso","Acropora tenuis",11,"",25,23.1984,"11/05/2021",NA,NA,"","",23.4131,"20/05/2021","",NA,"","",23.5439,"26/05/2021","",NA,"","",23.831,"8/06/2021","",NA,"","",NA,"24.1828","23/06/2021","","24.5261","6/07/2021","",NA,"",NA
180,19.0763,NA,"25°C/3",4,"Kelso","Acropora hyacinthus",2,"",25,17.9529,"11/05/2021",NA,NA,"","",18.2255,"20/05/2021","",NA,"","",18.3991,"26/05/2021","",NA,"","",18.6527,"8/06/2021","",NA,"","",NA,"18.8459","23/06/2021","","19.0817","6/07/2021","",NA,"",NA
14,19.596,NA,"25°C/3",7,"Kelso","Acropora tenuis",5,"",25,16.9618,"11/05/2021",NA,NA,"","",17.1143,"20/05/2021","",NA,"","",17.1989,"26/05/2021","",NA,"","",17.326,"8/06/2021","",NA,"","",NA,"17.3766","23/06/2021","","17.4015","6/07/2021","",NA,"",NA
43,18.9234,NA,"25°C/3",8,"Kelso","Acropora hyacinthus",11,"",25,16.2866,"11/05/2021",NA,NA,"","",16.5062,"20/05/2021","",NA,"","",16.6588,"26/05/2021","",NA,"","",16.9221,"8/06/2021","",NA,"","",NA,"17.3592","23/06/2021","","17.5269","6/07/2021","",NA,"",NA
94,18.8788,NA,"25°C/3",9,"Kelso","Pocillopora verrucosa",13,"",25,21.3065,"11/05/2021",NA,NA,"","",21.4853,"20/05/2021","",NA,"","",21.6132,"26/05/2021","",NA,"","",21.8874,"8/06/2021","",NA,"","",NA,"22.2398","23/06/2021","","22.601","6/07/2021","",NA,"",NA
27,19.2317,NA,"25°C/3",10,"Kelso","Acropora hyacinthus",14,"",25,15.1284,"11/05/2021",NA,NA,"","",15.3285,"20/05/2021","",NA,"","",15.4699,"26/05/2021","",NA,"","",15.7335,"8/06/2021","",NA,"","",NA,"15.9636","23/06/2021","","16.1885","6/07/2021","",NA,"",NA
296,19.2927,NA,"25°C/3",12,"Kelso","Stylophora pistillata",13,"",25,22.4595,"11/05/2021",NA,NA,"","",22.5332,"20/05/2021","",NA,"","",22.5863,"26/05/2021","",NA,"","",22.4744,"8/06/2021","",NA,"","",NA,"22.7276","23/06/2021","","22.8024","6/07/2021","",NA,"",NA
628,17.8311,NA,"25°C/3",13,"Kelso","Stylophora pistillata",1,"",25,18.1003,"11/05/2021",NA,NA,"","",18.2981,"20/05/2021","",NA,"","",18.4444,"26/05/2021","",NA,"","",18.901,"8/06/2021","",NA,"","",NA,"19.5309","23/06/2021","","20.2395","6/07/2021","",NA,"",NA
37,19.682,NA,"25°C/3",15,"Kelso","Pocillopora verrucosa",11,"",25,16.8939,"11/05/2021",NA,NA,"","",17.0323,"20/05/2021","",NA,"","",17.1245,"26/05/2021","",NA,"","",17.3432,"8/06/2021","",NA,"","",NA,"17.6137","23/06/2021","","17.8744","6/07/2021","",NA,"",NA
84,19.0295,NA,"25°C/3",16,"Kelso","Pocillopora verrucosa",5,"",25,24.6558,"11/05/2021",NA,NA,"","",24.7972,"20/05/2021","",NA,"","",24.8809,"26/05/2021","",NA,"","",25.0381,"8/06/2021","",NA,"","",NA,"25.2196","23/06/2021","","25.4691","6/07/2021","",NA,"",NA
370,19.9155,NA,"25°C/3",17,"Kelso","Stylophora pistillata",4,"",25,14.2867,"11/05/2021",NA,NA,"","",14.4471,"20/05/2021","",NA,"","",14.5354,"26/05/2021","",NA,"","",14.6749,"8/06/2021","",NA,"","",NA,"14.8361","23/06/2021","","14.963","6/07/2021","",NA,"",NA
40,19.2595,NA,"26°C/1",1,"Kelso","Acropora hyacinthus",14,"",26,19.4003,"5/05/2021",NA,NA,"","",19.9085,"18/05/2021","",NA,"","",NA,"","",NA,"","",20.4848,"1/06/2021","",NA,"","",NA,"21.0739","14/06/2021","","21.6335","28/06/2021","",NA,"",NA
324,18.9706,NA,"26°C/1",2,"Kelso","Stylophora pistillata",9,"",26,16.2087,"5/05/2021",NA,NA,"","",16.5639,"18/05/2021","",NA,"","",NA,"","",NA,"","",17.0105,"1/06/2021","",NA,"","",NA,"17.4704","14/06/2021","","17.9912","28/06/2021","",NA,"",NA
214,19.2924,NA,"26°C/1",3,"Kelso","Pocillopora verrucosa",12,"",26,23.48,"5/05/2021",NA,NA,"","",23.7186,"18/05/2021","",NA,"","",NA,"","",NA,"","",24.0029,"1/06/2021","",NA,"","",NA,"24.5252","14/06/2021","","25.0607","28/06/2021","",NA,"",NA
107,19.8212,NA,"26°C/1",4,"Kelso","Acropora tenuis",6,"",26,16.4672,"5/05/2021",NA,NA,"","",16.8024,"18/05/2021","",NA,"","",NA,"","",NA,"","",17.0858,"1/06/2021","",NA,"","",NA,"17.2825","14/06/2021","","17.3267","28/06/2021","",NA,"",NA
46,20.2238,NA,"26°C/1",5,"Kelso","Acropora hyacinthus",11,"",26,16.9324,"5/05/2021",NA,NA,"","",17.2578,"18/05/2021","",NA,"","",NA,"","",NA,"","",17.6254,"1/06/2021","",NA,"","",NA,"17.9223","14/06/2021","","18.0451","28/06/2021","",NA,"",NA
562,19.6235,NA,"26°C/1",6,"Kelso","Acropora tenuis",8,"",26,15.6326,"5/05/2021",NA,NA,"","",15.9444,"18/05/2021","",NA,"","",NA,"","",NA,"","",16.2192,"1/06/2021","",NA,"","",NA,"16.2927","14/06/2021","","16.3096","24/06/2021","Sampled due to tissue necrosis on tips",NA,"",NA
9,19.1931,NA,"26°C/1",7,"Kelso","Pocillopora verrucosa",11,"",26,16.7589,"5/05/2021",NA,NA,"","",16.8961,"18/05/2021","",NA,"","",NA,"","",NA,"","",17.2286,"1/06/2021","",NA,"","",NA,"17.571","14/06/2021","","18.0557","28/06/2021","",NA,"",NA
173,19.3372,NA,"26°C/1",9,"Kelso","Acropora hyacinthus",2,"",26,16.8634,"5/05/2021",NA,NA,"","",17.3883,"18/05/2021","",NA,"","",NA,"","",NA,"","",17.9233,"1/06/2021","",NA,"","",NA,"18.3105","14/06/2021","","18.6379","28/06/2021","",NA,"",NA
182,18.4834,NA,"26°C/1",13,"Kelso","Stylophora pistillata",3,"",26,19.5813,"5/05/2021",NA,NA,"","",20.1216,"18/05/2021","",NA,"","",NA,"","",NA,"","",20.812,"1/06/2021","",NA,"","",NA,"21.5868","14/06/2021","","22.3682","28/06/2021","",NA,"",NA
11,19.8274,NA,"26°C/1",14,"Kelso","Acropora tenuis",5,"",26,15.3472,"5/05/2021",NA,NA,"","",15.6676,"18/05/2021","",NA,"","",NA,"","",NA,"","",15.9646,"1/06/2021","",NA,"","",NA,"16.017","14/06/2021","Sampled due to tissue necrosis on tips","","28/06/2021","",NA,"",NA
159,20.5431,NA,"26°C/1",15,"Kelso","Pocillopora verrucosa",4,"",26,21.8562,"5/05/2021",NA,NA,"","",22.1987,"18/05/2021","",NA,"","",NA,"","",NA,"","",22.7594,"1/06/2021","",NA,"","",NA,"23.4572","14/06/2021","","24.321","28/06/2021","",NA,"",NA
32,18.8699,NA,"26°C/1",17,"Kelso","Stylophora pistillata",8,"",26,25.0385,"5/05/2021",NA,NA,"","",25.5527,"18/05/2021","",NA,"","",NA,"","",NA,"","",26.503,"1/06/2021","",NA,"","",NA,"27.6424","14/06/2021","","29.0141","28/06/2021","",NA,"",NA
145,19.0802,NA,"26°C/2",1,"Kelso","Pocillopora verrucosa",8,"",26,24.8366,"5/05/2021",NA,NA,"","",25.0669,"18/05/2021","",NA,"","",NA,"","",NA,"","",25.317,"1/06/2021","",NA,"","",NA,"25.5153","14/06/2021","","25.7958","28/06/2021","",NA,"",NA
355,19.0289,NA,"26°C/2",5,"Kelso","Acropora hyacinthus",5,"",26,17.6496,"5/05/2021",NA,NA,"","",17.8878,"18/05/2021","",NA,"","",NA,"","",NA,"","",18.146,"1/06/2021","",NA,"","",NA,"18.4665","14/06/2021","","18.839","28/06/2021","",NA,"",NA
113,17.8846,NA,"26°C/2",7,"Kelso","Stylophora pistillata",2,"",26,24.1721,"5/05/2021",NA,NA,"","",24.5259,"18/05/2021","",NA,"","",NA,"","",NA,"","",25.0243,"1/06/2021","",NA,"","",NA,"25.5033","14/06/2021","","25.8652","28/06/2021","",NA,"",NA
338,20.1448,NA,"26°C/2",8,"Kelso","Acropora tenuis",4,"",26,15.5153,"5/05/2021",NA,NA,"","",15.7769,"18/05/2021","",NA,"","",NA,"","",NA,"","",15.9981,"1/06/2021","",NA,"","",NA,"16.1363","14/06/2021","","16.1833","28/06/2021","",NA,"",NA
55,20.2947,NA,"26°C/2",9,"Kelso","Pocillopora verrucosa",6,"",26,21.7301,"5/05/2021",NA,NA,"","",21.8922,"18/05/2021","",NA,"","",NA,"","",NA,"","",22.0549,"1/06/2021","",NA,"","",NA,"22.2924","14/06/2021","","22.6546","28/06/2021","",NA,"",NA
319,19.4063,NA,"26°C/2",10,"Kelso","Acropora hyacinthus",6,"",26,19.0666,"5/05/2021",NA,NA,"","",19.3369,"18/05/2021","",NA,"","",NA,"","",NA,"","",19.6078,"1/06/2021","",NA,"","",NA,"19.864","14/06/2021","","20.1063","28/06/2021","",NA,"",NA
202,19.4876,NA,"26°C/2",12,"Kelso","Acropora tenuis",7,"",26,19.1692,"5/05/2021",NA,NA,"","",19.7252,"18/05/2021","",NA,"","",NA,"","",NA,"","",20.2516,"1/06/2021","",NA,"","",NA,"20.7025","14/06/2021","","21.0055","28/06/2021","",NA,"",NA
239,18.6525,NA,"26°C/2",13,"Kelso","Stylophora pistillata",5,"",26,22.0601,"5/05/2021",NA,NA,"","",22.3642,"18/05/2021","",NA,"","",NA,"","",NA,"","",22.71,"1/06/2021","",NA,"","",NA,"23.1003","14/06/2021","","23.5097","28/06/2021","",NA,"",NA
191,19.342,NA,"26°C/2",14,"Kelso","Acropora hyacinthus",10,"",26,19.4853,"5/05/2021",NA,NA,"","",19.9146,"18/05/2021","",NA,"","",NA,"","",NA,"","",20.1873,"1/06/2021","",NA,"","",NA,"20.6186","14/06/2021","","20.983","28/06/2021","",NA,"",NA
295,18.8371,NA,"26°C/2",15,"Kelso","Stylophora pistillata",13,"",26,21.4682,"5/05/2021",NA,NA,"","",21.563,"18/05/2021","",NA,"","",NA,"","",NA,"","",21.6066,"1/06/2021","",NA,"","",NA,"21.6377","14/06/2021","","21.6656","28/06/2021","",NA,"",NA
65,19.3114,NA,"26°C/2",16,"Kelso","Acropora tenuis",13,"",26,16.1318,"5/05/2021",NA,NA,"","",16.3421,"18/05/2021","",NA,"","",NA,"","",NA,"","",16.4769,"1/06/2021","",NA,"","",NA,"16.6677","14/06/2021","","16.7947","28/06/2021","",NA,"",NA
87,19.822,NA,"26°C/2",18,"Kelso","Pocillopora verrucosa",5,"",26,24.3,"5/05/2021",NA,NA,"","",24.4812,"18/05/2021","",NA,"","",NA,"","",NA,"","",24.6593,"1/06/2021","",NA,"","",NA,"24.8976","14/06/2021","","25.1957","28/06/2021","",NA,"",NA
128,18.6583,NA,"26°C/3",1,"Kelso","Acropora hyacinthus",7,"",26,18.8355,"5/05/2021",NA,NA,"","",19.1006,"18/05/2021","",NA,"","",NA,"","",NA,"","",19.4921,"1/06/2021","",NA,"","",NA,"19.9027","14/06/2021","","20.3433","28/06/2021","",NA,"",NA
288,18.9091,NA,"26°C/3",2,"Kelso","Pocillopora verrucosa",10,"",26,27.9281,"5/05/2021",NA,NA,"","",28.8419,"18/05/2021","",NA,"","",NA,"","",NA,"","",30.0956,"1/06/2021","",NA,"","",NA,"31.2378","14/06/2021","","32.5374","28/06/2021","",NA,"",NA
305,19.6914,NA,"26°C/3",3,"Kelso","Acropora tenuis",11,"",26,17.8346,"5/05/2021",NA,NA,"","",18.0578,"18/05/2021","",NA,"","",NA,"","",NA,"","",18.3338,"1/06/2021","",NA,"","",NA,"18.6625","14/06/2021","","19.0421","28/06/2021","",NA,"",NA
96,18.9206,NA,"26°C/3",4,"Kelso","Pocillopora verrucosa",13,"",26,24.9313,"5/05/2021",NA,NA,"","",25.359,"18/05/2021","",NA,"","",NA,"","",NA,"","",26.0676,"1/06/2021","",NA,"","",NA,"26.7922","14/06/2021","","27.625","28/06/2021","",NA,"",NA
166,19.7188,NA,"26°C/3",5,"Kelso","Stylophora pistillata",7,"",26,29.9656,"5/05/2021",NA,NA,"","",30.7573,"18/05/2021","",NA,"","",NA,"","",NA,"","",31.6719,"1/06/2021","",NA,"","",NA,"32.4867","14/06/2021","","33.343","28/06/2021","",NA,"",NA
265,19.6071,NA,"26°C/3",8,"Kelso","Acropora hyacinthus",15,"",26,17.3044,"5/05/2021",NA,NA,"","",17.5611,"18/05/2021","",NA,"","",NA,"","",NA,"","",17.8904,"1/06/2021","",NA,"","",NA,"18.2019","14/06/2021","","18.5652","28/06/2021","",NA,"",NA
365,19.0042,NA,"26°C/3",10,"Kelso","Stylophora pistillata",4,"",26,16.1574,"5/05/2021",NA,NA,"","",16.5283,"18/05/2021","",NA,"","",NA,"","",NA,"","",16.8573,"1/06/2021","",NA,"","",NA,"17.1115","14/06/2021","","18.5692","28/06/2021","",NA,"",NA
343,18.4464,NA,"26°C/3",11,"Kelso","Acropora tenuis",1,"",26,18.5059,"5/05/2021",NA,NA,"","",18.8274,"18/05/2021","",NA,"","",NA,"","",NA,"","",19.1808,"1/06/2021","",NA,"","",NA,"19.5024","14/06/2021","","19.846","28/06/2021","",NA,"",NA
599,18.6149,NA,"26°C/3",12,"Kelso","Acropora tenuis",2,"",26,14.5501,"5/05/2021",NA,NA,"","",14.94,"18/05/2021","",NA,"","",NA,"","",NA,"","",15.3519,"1/06/2021","",NA,"","",NA,"15.5111","14/06/2021","","15.5472","28/06/2021","",NA,"",NA
227,18.7834,NA,"26°C/3",13,"Kelso","Pocillopora verrucosa",9,"",26,22.1037,"5/05/2021",NA,NA,"","",22.3416,"18/05/2021","",NA,"","",NA,"","",NA,"","",22.693,"1/06/2021","",NA,"","",NA,"23.1635","14/06/2021","","23.8441","28/06/2021","",NA,"",NA
271,20.0691,NA,"26°C/3",16,"Kelso","Acropora hyacinthus",1,"",26,17.1799,"5/05/2021",NA,NA,"","",18.1997,"18/05/2021","",NA,"","",NA,"","",NA,"","",18.6473,"1/06/2021","",NA,"","",NA,"19.0004","14/06/2021","","19.4724","28/06/2021","",NA,"",NA
627,18.5091,NA,"26°C/3",18,"Kelso","Stylophora pistillata",1,"",26,17.2638,"5/05/2021",NA,NA,"","",17.6231,"18/05/2021","",NA,"","",NA,"","",NA,"","",18.0827,"1/06/2021","",NA,"","",NA,"18.562","14/06/2021","","19.0812","28/06/2021","",NA,"",NA
88,19.4844,NA,"27°C/1",4,"Kelso","Pocillopora verrucosa",5,"",27,21.8919,"5/05/2021",NA,NA,"","",22.1367,"18/05/2021","",NA,"","",NA,"","",NA,"","",22.5642,"1/06/2021","",NA,"","",NA,"22.9995","14/06/2021","","23.5539","28/06/2021","",NA,"",NA
160,20.6282,NA,"27°C/1",5,"Kelso","Pocillopora verrucosa",4,"",27,20.3618,"5/05/2021",NA,NA,"","",20.6313,"18/05/2021","",NA,"","",NA,"","",NA,"","",21.017,"1/06/2021","",NA,"","",NA,"21.4163","14/06/2021","","21.8995","28/06/2021","",NA,"",NA
213,20.0822,NA,"27°C/1",6,"Kelso","Pocillopora verrucosa",12,"",27,22.3683,"5/05/2021",NA,NA,"","",22.5187,"18/05/2021","",NA,"","",NA,"","",NA,"","",22.6936,"1/06/2021","",NA,"","",NA,"22.8835","14/06/2021","","23.1464","28/06/2021","",NA,"",NA
369,20.3059,NA,"27°C/1",7,"Kelso","Stylophora pistillata",4,"",27,19.686,"5/05/2021",NA,NA,"","",20.2234,"18/05/2021","",NA,"","",NA,"","",NA,"","",20.7465,"1/06/2021","",NA,"","",NA,"21.1984","14/06/2021","","21.5558","28/06/2021","",NA,"",NA
44,18.834,NA,"27°C/1",8,"Kelso","Acropora hyacinthus",11,"",27,17.7385,"5/05/2021",NA,NA,"","",18.227,"18/05/2021","",NA,"","",NA,"","",NA,"","",18.5872,"1/06/2021","",NA,"","",NA,"18.8955","14/06/2021","","19.362","28/06/2021","",NA,"",NA
322,19.1729,NA,"27°C/1",9,"Kelso","Stylophora pistillata",9,"",27,18.5611,"5/05/2021",NA,NA,"","",18.908,"18/05/2021","",NA,"","",NA,"","",NA,"","",19.3503,"1/06/2021","",NA,"","",NA,"19.8591","14/06/2021","","20.5288","28/06/2021","",NA,"",NA
621,18.9047,NA,"27°C/1",10,"Kelso","Stylophora pistillata",1,"",27,19.107,"5/05/2021",NA,NA,"","",19.4233,"18/05/2021","",NA,"","",NA,"","",NA,"","",19.7493,"1/06/2021","",NA,"","",NA,"20.1584","14/06/2021","","20.6375","28/06/2021","",NA,"",NA
198,20.2585,NA,"27°C/1",12,"Kelso","Acropora hyacinthus",10,"",27,16.6778,"5/05/2021",NA,NA,"","",17.2044,"18/05/2021","",NA,"","",NA,"","",NA,"","",17.698,"1/06/2021","",NA,"","",NA,"18.1687","14/06/2021","","18.7353","28/06/2021","",NA,"",NA
339,18.9211,NA,"27°C/1",13,"Kelso","Acropora tenuis",4,"",27,14.6301,"5/05/2021",NA,NA,"","",14.7516,"18/05/2021","",NA,"","",NA,"","",NA,"","",14.9576,"1/06/2021","",NA,"","",NA,"15.0444","14/06/2021","","15.0766","23/06/2021","tissue sloughing - exposed skeleton",NA,"",NA
600,18.363,NA,"27°C/1",14,"Kelso","Acropora tenuis",2,"",27,12.1314,"5/05/2021",NA,NA,"","",12.3316,"18/05/2021","",NA,"","",NA,"","",NA,"","",12.5183,"1/06/2021","",NA,"","",NA,"12.6886","14/06/2021","","12.8531","28/06/2021","",NA,"",NA
108,19.9848,NA,"27°C/1",15,"Kelso","Acropora tenuis",6,"",27,17.0175,"5/05/2021",NA,NA,"","",17.3391,"18/05/2021","",NA,"","",NA,"","",NA,"","",17.6022,"1/06/2021","",NA,"","",NA,"17.8512","14/06/2021","","18.1645","28/06/2021","",NA,"",NA
172,20.1541,NA,"27°C/1",18,"Kelso","Acropora hyacinthus",2,"",27,17.6155,"5/05/2021",NA,NA,"","",18.1289,"18/05/2021","",NA,"","",NA,"","",NA,"","",18.5947,"1/06/2021","",NA,"","",NA,"18.9095","14/06/2021","","19.1825","28/06/2021","",NA,"",NA
569,19.7888,NA,"27°C/2",2,"Kelso","Acropora tenuis",8,"",27,14.1188,"5/05/2021",NA,NA,"","",14.3749,"19/05/2021","",NA,"","",NA,"","",NA,"","",14.5526,"1/06/2021","",NA,"","",NA,"14.6281","14/06/2021","","14.6632","28/06/2021","",NA,"",NA
59,18.8009,NA,"27°C/2",3,"Kelso","Pocillopora verrucosa",6,"",27,28.1275,"5/05/2021",NA,NA,"","",28.7415,"19/05/2021","",NA,"","",NA,"","",NA,"","",29.6618,"1/06/2021","",NA,"","",NA,"30.5706","14/06/2021","","31.5026","28/06/2021","",NA,"",NA
112,20.3262,NA,"27°C/2",4,"Kelso","Stylophora pistillata",2,"",27,23.5051,"5/05/2021",NA,NA,"","",24.0571,"19/05/2021","",NA,"","",NA,"","",NA,"","",24.5485,"1/06/2021","",NA,"","",NA,"24.9705","14/06/2021","","25.3759","28/06/2021","",NA,"",NA
141,19.7185,NA,"27°C/2",5,"Kelso","Pocillopora verrucosa",8,"",27,27.0607,"5/05/2021",NA,NA,"","",27.4009,"19/05/2021","",NA,"","",NA,"","",NA,"","",27.7339,"1/06/2021","",NA,"","",NA,"28.083","14/06/2021","","28.5688","28/06/2021","",NA,"",NA
184,17.6252,NA,"27°C/2",6,"Kelso","Stylophora pistillata",3,"",27,23.374,"5/05/2021",NA,NA,"","",24.2752,"19/05/2021","",NA,"","",NA,"","",NA,"","",25.4659,"1/06/2021","",NA,"","",NA,"26.6516","14/06/2021","","27.8662","28/06/2021","",NA,"",NA
2,19.9268,NA,"27°C/2",8,"Kelso","Pocillopora verrucosa",11,"",27,20.2908,"5/05/2021",NA,NA,"","",20.701,"19/05/2021","",NA,"","",NA,"","",NA,"","",21.2817,"1/06/2021","",NA,"","",NA,"21.8534","14/06/2021","","22.5216","28/06/2021","",NA,"",NA
308,19.8115,NA,"27°C/2",9,"Kelso","Acropora tenuis",11,"",27,16.4886,"5/05/2021",NA,NA,"","",16.877,"19/05/2021","",NA,"","",NA,"","",NA,"","",17.2624,"1/06/2021","",NA,"","",NA,"17.7228","14/06/2021","","18.2009","28/06/2021","",NA,"",NA
162,19.5227,NA,"27°C/2",11,"Kelso","Stylophora pistillata",7,"",27,24.7693,"5/05/2021",NA,NA,"","",25.4098,"19/05/2021","",NA,"","",NA,"","",NA,"","",26.1791,"1/06/2021","",NA,"","",NA,"26.9989","14/06/2021","","27.9511","28/06/2021","",NA,"",NA
